Item Group ID	Product ID	GTIN	Manufacturer Part Number	Product Name	Product Description	Category	Product Type	Product URL	Image URL	Additional Image URL	Brand	MSRP Price	Sale Price	Stock Status	Condition	Color	Gender	Size	Material	Pattern	Age Group	Shipping Cost	Shipping Weight
	1385157			Color Reform Silk Overdyed Rug - 8'2"x9'9"	This one-of-a-kind rug in taupe and cream hues is hand-woven in India using a silk and wool blend, and then overdyed to create a remarkable chromatic composition. A unique oxidation process recreates the timeworn beauty of antique carpets, adhering to the wool foundation while leaving the silk threads untouched – transforming the motifs with an exquisitely tactile and distinctive hi-low effect. Vibrant and vivid in its luminosity, each Color Reform Silk piece transforms new, luxurious silk rugs into exotic works of art that feature unique tonalities and patterns brought to life through intense color.	carpet & rugs|silk	carpet & rugs|silk	https://www.abchome.com/shop/index.php/color-reform-spectrum-silk-wool-rug-8-2-x9-9-1385157	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1385157-color-reform-spectrum-silk-wool-rug-82x99-a.jpg		color reform silk	11,500.00		in stock	new	neutral		8x10	wool				39.8
	1385156			Ethos Silk & Wool Rug - 6'x9'	Exotic patterns come alive in vibrant colors in this one-of-a-kind rug, individually hand-knotted from handspun silk in India. An intricate tribal motif is dyed in brilliant hues to form a mesmerizing composition of iridescent patterns. Evocative of poetic watercolor paintings, this piece combines the artistry of traditional techniques with the contemporary design of translucent color.	carpet & rugs|silk	carpet & rugs|silk	https://www.abchome.com/shop/index.php/ethos-silk-wool-rug-6-x9-1385156	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1385156-ethos-silk-wool-rug-6x9-a.jpg		ethos	7,800.00	0	in stock	new	multi		6x9	silk/wool				27
	1384740			Aquasilk Overdyed Rug - 7'10"x10'2"	Inspired by the tranquil beauty of the ocean, this one-of-a-kind rug is individually hand-knotted from handspun silk in India. An exotic pattern dances across a vibrant turqouise ground with interlacing vines, overdyed in bold, bright hues to form a mesmerizing composition of iridescent patterns. Evocative of poetic watercolor paintings, this piece combines the artistry of traditional techniques with the contemporary design of translucent color.	sale|carpet & rugs	sale|carpet & rugs	https://www.abchome.com/shop/index.php/aquasilk-silk-rug-7-10-x10-2-1384740	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1384740-aquasilk-silk-rug-710x102-a.jpg		aquasilk	10,000.00	0	in stock	new	blue		8x10	silk				36.2
	1370084			Ethos Silk Rug - 8'3"x11'11"	A harmonious fusion of tradition and innovation, this silk rug from the Ethos collection features traditional motifs emerging through luminous ochre and sienna hues. Hand-knotted in India from vintage sari silk, this one-of-a-kind piece is inspired by a rare collection of 19th century Central Asian textiles, made contemporary through modern colors and forms.	carpet & rugs|silk	carpet & rugs|silk	https://www.abchome.com/shop/index.php/ethos-silk-rug-8-3-x11-11-1370084	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1370084-ethos-silk-rug-83x1111-a.jpg		ethos	12,700.00		in stock	new	brown		9x12	silk				48
	1370085			Color Reform Silk Overdyed Rug - 5'9"x9'3"	This one-of-a-kind rug in shades of slate and charcoal  is hand-woven in India using handspun silk and then overdyed to create a remarkable chromatic composition. Vibrant and vivid in its luminosity, each Color Reform Silk piece transforms new, luxurious silk rugs into exotic works of art that feature unique tonalities and patterns brought to life through intense color.			https://www.abchome.com/shop/index.php/color-reform-silk-silk-rug-5-9-x9-3-1370085	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1370085-color-reform-silk-silk-rug-59x93-a.jpg		color reform silk	7,700.00	0	in stock	new	multi		6x9	silk				26.6
	1369795			Aquasilk Overdyed Rug - 7'10"x10'6"	Inspired by the tranquil beauty of the ocean, this one-of-a-kind rug is individually hand-knotted from handspun silk in India. A linear motif is overdyed in sienna and turquoise hues to form a mesmerizing composition of iridescent patterns. Evocative of poetic watercolor paintings, this piece combines the artistry of traditional techniques with the contemporary design of translucent color.	carpet & rugs|silk	carpet & rugs|silk	https://www.abchome.com/shop/index.php/aquasilk-overdyed-rug-7-10-x10-6-1369795	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1369795-aquasilk-silk-rug-710x106-a.jpg		aquasilk	13,000.00		in stock	new	blue		8x10	silk				40
	1357701			Aquasilk Silk Rug - 5'9"x9'8"	Inspired by the tranquil beauty of the ocean, this one-of-a-kind rug is individually hand-knotted from handspun silk in India. A subtle motif of curling designs is overdyed in tan and silver hues to form a mesmerizing composition of iridescent patterns. Evocative of poetic watercolor paintings, this piece combines the artistry of traditional techniques with the contemporary design of translucent color.	brands|aquasilk	brands|aquasilk	https://www.abchome.com/shop/index.php/aquasilk-silk-rug-5-9-x9-8-1357701	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1357701-aquasilk-silk-rug-59x98-a.jpg		aquasilk	6,400.00	0	in stock	new	neutral		6x9	silk				30
	1348993			Aquasilk Silk Rug - 6'x9'2"	Inspired by the tranquil beauty of the ocean, this one-of-a-kind rug is individually hand-knotted from handspun silk in India. An exotic floral motif is overdyed in deep violet and ochre hues to form a mesmerizing composition of iridescent patterns. Evocative of poetic watercolor paintings, this piece combines the artistry of traditional techniques with the contemporary design of translucent color.	carpet & rugs|silk	carpet & rugs|silk	https://www.abchome.com/shop/index.php/aquasilk-silk-rug-6-x9-2-1348993	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1348993-aquasilk-silk-rug-6x92-a.jpg		aquasilk	6,600.00	0	in stock	new	multi		6x9	silk				27
	1403449			Aquasilk Silk Rug - 8'8"x12'1"	Inspired by the tranquil beauty of the ocean, this one-of-a-kind rug is individually hand-knotted from handspun silk in India. An exotic motif is overdyed in luminous teal and emerald hues to form a mesmerizing composition of iridescent patterns. Evocative of poetic watercolor paintings, this piece combines the artistry of traditional techniques with the contemporary design of translucent color.	carpet & rugs|silk	carpet & rugs|silk	https://www.abchome.com/shop/index.php/aquasilk-silk-rug-8-8-x12-1-1403449	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/4/1403449_a.jpg		aquasilk	13,100.00		in stock	new	green		9x12	silk				52.4
	1403543			Aquasilk Overdyed Rug - 7'8"x10'	Inspired by the tranquil beauty of the ocean, this one-of-a-kind rug is individually hand-knotted from handspun silk in India. An exotic motif is overdyed in luminous ivory and cream hues to form a mesmerizing composition of iridescent patterns. Evocative of poetic watercolor paintings, this piece combines the artistry of traditional techniques with the contemporary design of translucent color.	sale|carpet & rugs	sale|carpet & rugs	https://www.abchome.com/shop/index.php/aquasilk-overdyed-rug-7-8-x10-1403543	http://www.abchome.com/shop/media/catalog/product/cache/0/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/4/1403543_a.jpg		aquasilk	8,900.00	0	in stock	new	neutral		8x10	silk				38.3
